Log #,Complaint #,Date,Address #,Street Name,Borough,District,Work Reported,Closed,Issued Violation?
6626,04-03-19-046,3/16/04,79,Jane Street,Mn,GV,Garbage can(s)/enclosure(s),1,0
6627,04-03-19-047,3/16/04,82,Jane Street,Mn,GV,Garbage can(s)/enclosure(s),1,0
6628,04-03-19-048,3/16/04,86,Jane Street,Mn,GV,Garbage can(s)/enclosure(s),1,0
6629,04-03-19-049,3/16/04,88,Jane Street,Mn,GV,Garbage can(s)/enclosure(s),1,0
6630,04-03-19-050,3/16/04,324 - 326,West 4th Street,Mn,GV,Garbage can(s)/enclosure(s),1,1
6631,04-03-19-051,3/16/04,328,West 4th Street,Mn,GV,Garbage can(s)/enclosure(s),1,1
6632,04-03-19-052,3/16/04,235,West 12th Street,Mn,GV,Garbage can(s)/enclosure(s),1,1
6633,04-03-19-053,3/16/04,243,West 12th Street,Mn,GV,Garbage can(s)/enclosure(s),1,1
6634,04-03-19-054,3/16/04,250,West 12th Street,Mn,GV,Garbage can(s)/enclosure(s),1,0
6635,04-03-19-055,3/16/04,260,West 12th Street,Mn,GV,Garbage can(s)/enclosure(s),1,1
6636,04-03-19-056,3/16/04,328,West 12th Street,Mn,GV,Garbage can(s)/enclosure(s),1,1
6637,04-03-19-057,3/16/04,335,West 12th Street,Mn,GV,Garbage can(s)/enclosure(s),1,0
6638,04-03-19-058,3/16/04,337,West 12th Street,Mn,GV,Garbage can(s)/enclosure(s),1,0
6639,04-03-19-059,3/16/04,339,West 12th Street,Mn,GV,Garbage can(s)/enclosure(s),1,0
6640,04-03-19-060,3/16/04,357 - 359,West 12th Street,Mn,GV,Garbage can(s)/enclosure(s),1,0
6641,04-03-19-061,3/16/04,73 - 75,Christopher Street,Mn,GV,"Shopfront, banners, flagpoles",1,1
6642,04-03-19-062,3/17/04,476,Washington Avenue,Bn,CLIN,Possible cornice removal,1,0
6644,04-03-19-064,3/19/04,107,Christopher Street,Mn,GV,Interior alterations,1,1
6645,04-03-26-065,3/22/04,570,Hudson Street,Mn,GV,Light fixtures,1,1
6646,04-03-26-066,3/22/04,[404],6th Avenue,Mn,GV,Yellow paint,1,1
6647,04-03-26-067,3/23/04,[400 - 408],Amsterdam Avenue,Mn,UWS,Shopfront,1,0
6648,04-03-26-068,3/23/04,1001,Fifth Avenue,Mn,MET,"21st, 22nd & 25th floor windows",1,1
6649,04-03-26-069,3/23/04,37,West 74th Street,Mn,UWS,Chiseling away at stoop,1,0
6650,04-03-26-070,3/23/04,321,Canal Street,Mn,SOHO,Windows,1,1
6651,04-03-26-071,3/24/04,112,East 10th Street,Mn,SMA,Basement entrance chopped off,1,0
6652,04-03-26-072,3/23/04,373,6th Avenue,Mn,GV,"White paint, sign",1,1
6653,04-03-26-073,3/24/04,125,West 72nd Street,Mn,UWS,Sign & bracket,1,1
6654,04-03-26-074,3/24/04,190 - 198,Columbus Avenue,Mn,UWS,"Shopfront (L'Occitane); 4 May 04: Sprint signage, possibly shopfront alts.",1,1
6655,04-03-26-075,3/25/04,19,East 74th Street,Mn,UES,Awnings,1,1
6657,04-03-26-077,3/25/04,27,Barrow Street,Mn,GV,Signage at 1st floor,1,1
6658,04-03-26-078,3/23/04,387,6th Avenue,Mn,GV,"Shopfront, signage",1,0
6659,04-03-26-079,3/23/04,389,6th Avenue,Mn,GV,"Shopfront, signage, 2nd floor windows",1,0
6660,04-03-26-080,3/22/04,100,Clark Street,Bn,BH,"Façade disrepair, yellow waterproofing",1,0
6661,04-03-26-081,3/26/04,20,Henry Street,Bn,BH,Work in courtyard,1,0
6662,04-03-26-082,3/26/04,132,East 36th Street,Mn,MURHE,Painting,1,1
6663,04-03-31-083,3/29/04,64,Mercer Street,Mn,SOHO,Sign,1,1
6664,04-03-31-084,3/29/04,375,Canal Street,Mn,SOHO,Roll-gates,1,1
6665,04-03-31-085,3/29/04,[173],West 81st Street,Mn,UWS,Neon,1,0
6666,04-03-31-086,3/30/04,2,East 55th Street,Mn,IL,Antennas,1,1
6667,04-03-31-087,3/30/04,37-23,82nd Street,Qn,JH,Stone façade at Payless Shopfront,1,0
6668,04-03-31-088,3/30/04,372,Fulton Street,Bn,IL,TGIF sign; 1 Apr 04: tables & chairs removed,1,1
6669,04-03-31-089,3/30/04,,Patchin Place,Mn,GV,Sign on gate,1,0
6670,04-03-31-090,3/30/04,[312 - 316],East 88th Street,Mn,IL,"Neglected, unkept grounds",1,0
6671,04-04-02-001,3/31/04,464,6th Avenue,Mn,GV,Rope of lights at sign,1,1
6672,04-04-02-002,4/1/04,506,Canal Street,Mn,IL,"Signage; 23 Apr 03: interior alts.; façade work, including painting; 12 May 04: stoop",1,1
6673,04-04-02-003,4/1/04,106,Noble Street,Bn,GP,Roll-gate,1,0
6674,04-04-02-004,4/2/04,35-23,83rd Street,Qn,JH,Paving over green space at rear,1,0
6675,04-04-02-005,4/2/04,76 - 108,Gansevoort Street,Mn,GANS,Cornice work,1,0
6676,04-04-09-006,4/5/04,5,9th Avenue,Mn,GANS,"Façade work, windows, door",1,1
6677,04-04-09-007,4/3/04,365,Bleecker Street,Mn,GV,4x7 cut through rear façade; 21 Apr 04: exterior wall & roof; 26? Apr 04: interior work,1,0
6678,04-04-09-008,4/5/04,17,East 79th Street,Mn,MET,Security cameras at the Mayor's residence,1,0
6679,04-04-09-009,4/5/04,42,West 96th Street,Mn,UWS,Handrails at main entrance & basement entrance,1,1
6680,04-04-09-010,4/5/04,73,West 11th Street,Mn,GV,Faux brick exterior,1,0
6681,04-04-09-011,4/6/04,95,Fifth Avenue,Mn,LM,Construction at rooftop,1,0
6682,04-04-09-012,4/6/04,87,Chambers Street,Mn,TRIS,Interior partition against window,1,0
6683,04-04-09-013,4/6/04,465,6th Avenue,Mn,GV,"Awnings changed, awnings added",1,0
6684,04-04-09-014,4/6/04,520,West End Avenue,Mn,IL,Sign,1,0
6685,04-04-09-015,4/7/04,100,Fifth Avenue,Mn,LM,Shopfront,1,0
6686,04-04-09-016,4/8/04,46,Mercer Street,Mn,SOHO,Flagpole(s)/signs,1,0
6687,04-04-09-017,4/8/04,48,Mercer Street,Mn,SOHO,Flagpole(s)/signs,1,0
6688,04-04-09-018,4/8/04,55,Mercer Street,Mn,SOHO,Flagpole & banner,1,1
6689,04-04-09-019,4/8/04,56,Westervelt Avenue,SI,SG,"Boulders, installation of paving blocks on driveway and sidewalk",1,1
6691,04-04-09-021,4/9/04,359 - 361,Bleecker Street,Mn,GV,Rear addition,1,1
6692,04-04-09-022,4/9/04,129 - 131,Montague Street,Bn,BH,Chopping a hole in a terra cotta parapet,1,1
6693,04-04-09-023,4/9/04,61 - 77,Hicks Street,Bn,BH,Signage at sidewall,1,0
6694,04-04-09-024,4/7/04,185,Bergen Street,Bn,BOE,Windows,1,1
6695,04-04-09-025,4/7/04,183,Bergen Street,Bn,BOE,Windows,1,1
6696,04-04-09-026,4/7/04,181,Bergen Street,Bn,BOE,Windows,1,1
6697,04-04-09-027,4/7/04,171,Bergen Street,Bn,BOE,Windows,1,1
6698,04-04-09-028,4/7/04,161,Bergen Street,Bn,BOE,Windows,1,1
6699,04-04-09-029,4/7/04,157,Bergen Street,Bn,BOE,Windows,1,0
6700,04-04-09-030,4/7/04,155,Bergen Street,Bn,BOE,Windows,1,0
6703,04-04-09-033,4/7/04,174,Bergen Street,Bn,BOE,Windows,1,0
6704,04-04-09-034,4/7/04,176,Bergen Street,Bn,BOE,Windows,1,1
6705,04-04-09-035,4/7/04,180,Bergen Street,Bn,BOE,Windows,1,1
6706,04-04-09-036,4/7/04,186,Bergen Street,Bn,BOE,Windows,1,0
6707,04-04-09-037,4/7/04,190,Bergen Street,Bn,BOE,Windows,1,0
6708,04-04-09-038,4/7/04,,Pier A,Mn,IL,Signage on scaffolding,1,0
6709,04-04-09-039,4/5/04,817,Fifth Avenue,Mn,UES,Security camera,1,0
6710,04-04-09-040,4/5/04,854,Fifth Avenue,Mn,IL,Security camera (Yugoslav Delegation),1,0
6711,04-04-09-041,4/6/04,926,Fifth Avenue,Mn,UES,Security camera,1,0
6712,04-04-09-042,4/6/04,923,Fifth Avenue,Mn,UES,Security camera,1,1
6713,04-04-09-043,4/6/04,927,Fifth Avenue,Mn,UES,Security camera,1,1
6715,04-04-16-045,4/12/04,165,Marlborough Road,Bn,PPS,"Windows, garage work, façade work",1,1
6717,04-04-16-047,4/12/04,118,Gates Avenue,Bn,CLIN,Windows,1,0
6718,04-04-16-048,4/12/04,340,Bleecker Street,Mn,GV,Platform; 7 May 04: sidewalk café,1,1
6719,04-04-16-049,4/9/04,71,Gansevoort Street,Mn,GANS,Lintels rebuilt,1,0
6720,04-04-16-050,4/12/04,484,Henry Street,Bn,COB,"Bricks being removed, repointing, removal of porch",1,1
6721,04-04-16-051,4/12/04,29,West 21st Street,Mn,LM,"Altering shopfront, changing paint color",1,1
6722,04-04-16-052,4/12/04,487,Henry Street,Bn,COB,Scaffolding & façade work,1,0
6723,04-04-16-053,4/13/04,415,Clermont Avenue,Bn,FG,Windows,1,0
6724,04-04-16-054,4/13/04,429,Clermont Avenue,Bn,FG,Windows,1,0
6725,04-04-16-055,4/13/04,434,Clermont Avenue,Bn,FG,Windows,1,1
6726,04-04-16-056,3/25/04,181,9th Avenue,Mn,CHEL,"Aluminum covering façade, door, window opening bricked in, façade work, fence, razor wire",1,0
6727,04-04-16-057,4/13/04,378,Bleecker Street,Mn,GV,Roll-gates,1,1
6728,04-04-16-058,4/13/04,,Crosby Street,Mn,SOHO,Street work by Con Edison & possibly other companies,1,0
6729,04-04-16-059,4/14/04,16,West 21st Street,Mn,LM,Converting shopfront into a restaurant,1,0
6730,04-04-16-060,4/15/04,35 - 37,East 63rd Street,Mn,UES,Rear wall construction,1,1
6731,04-04-16-061,4/16/04,196,Court Street,Bn,COB,Signage,1,1
6732,04-04-16-062,4/16/04,4,East 54th Street,Mn,IL,"Door replaced, windows enlarged, fence altered",1,1
6733,04-04-16-063,4/16/04,209,East 62nd Street,Mn,TF,Addition,1,1
6734,04-04-23-064,4/19/04,146 or 148,Sterling Street,Bn,PLG,Boarded up,1,1
6735,04-04-23-065,4/19/04,112,Mercer Street,Mn,SOHO,"Paint removal, using caustic chemicals; 6 May 04: sidewalk shed",1,0
6736,04-04-23-066,4/19/04,21 - 33,7th Avenue,Mn,GV,"Lighting at 27 (Blimpies), roll-gates at 29 & 31",1,1
6738,04-04-23-068,4/20/04,50,Hicks Street,Bn,BH,Transoms at shopfront removed?,1,1
6740,04-04-23-070,4/20/04,29 - 35,9th Avenue,Mn,GANS,Canopies,1,1
6741,04-04-23-071,4/20/04,5,9th Avenue,Mn,GANS,"Windows, façade work, iron-work, door surround",1,1
6742,04-04-23-072,4/20/04,5,Little West 12th Street,Mn,GANS,Shopfront infill,1,0
6746,04-04-23-076,4/21/04,259,West 4th Street,Mn,GV,Metal fence bolted to sidewalk,1,1
6747,04-04-23-077,4/21/04,72,Joralemon Street,Bn,BH,"Tool shed, tree pit alts.",1,0
6748,04-04-23-078,4/21/04,156,Willoughby Avenue,Bn,CLIN,Façade work,1,0
6750,04-04-23-080,4/22/04,39,East 19th Street,Mn,LM,Shopfront alts.,1,1
6751,04-04-23-081,4/22/04,55,Fifth Avenue,Mn,NOT DESIGNATED,Flagpoles,1,0
6752,04-04-23-082,4/22/04,133,Fifth Avenue,Mn,LM,Banner signs,1,1
6753,04-04-23-083,4/23/04,124,East 92nd Street,Mn,CARE,Patio at rear,1,0
6755,04-04-30-085,4/27/04,625,West End Avenue,Mn,RWE,Windows,1,0
6756,04-04-30-086,4/27/04,281,Park Avenue South,Mn,IL,"Storefront work, aluminum door & surrounds",1,0
6758,04-04-30-088,4/26/04,20,West 74th Street,Mn,UWS,Roll-down gates,1,0
6759,04-04-30-089,4/26/04,22,West 74th Street,Mn,UWS,Roll-down gates,1,0
6760,04-04-30-090,4/26/04,24,West 74th Street,Mn,UWS,Roll-down gates,1,0
6761,04-05-04-001,4/28/04,,122nd Street,Qn,NOT DESIGNATED,Consturction around a bldg. in College Point,1,0
6762,04-05-04-002,4/28/04,22,Greenwich Avenue,Mn,GV,"Roll-gates, awning",1,1
6763,04-05-04-003,4/28/04,210,East 93rd Street,Mn,NOT DESIGNATED,A/C cut into wall,1,0
6764,04-05-04-004,4/30/04,,Centre Street,Mn,NOT DESIGNATED,Pace Bldg. cooling tower,1,0
6765,04-05-04-005,4/28/04,54,West 22nd Street,Mn,LM,"Entrance alts., painting",1,1
6767,04-05-04-007,5/3/04,701 - 709,6th Avenue,Mn,IL,Burlington Coat Factory sign,1,1
6769,04-05-04-009,5/4/04,,MacDonough Street,Bn,SH,Windows changed & other alterations,1,0
6770,04-05-07-010,5/5/04,58,Barrow Street,Mn,GV,Containers; 6 May 04: directory,1,1
6771,04-05-07-011,5/6/04,454,West 20th Street,Mn,CHEL,"Parlor floor windows widened, areaway alts.",1,0
6772,04-05-07-012,5/6/04,41,Avenue A,Mn,IL,Banner,1,1
6774,04-05-07-014,5/6/04,18,East 80th Street,Mn,MET,Light fixtures above front door,1,0
6775,04-05-07-015,5/6/04,3,East 82nd Street,Mn,MET,6' fence,1,0
6776,04-05-07-016,5/6/04,121,East 71st Street,Mn,UES,"""Apartments for Rent"" sign",1,1
6777,04-05-07-017,5/6/04,10,East 62nd Street,Mn,UES,Mailbox,1,1
6778,04-05-07-018,5/6/04,61,East 93rd Street,Mn,CARE,Windows,1,0
6779,04-05-07-019,5/5/04,281 - 297,Columbus Avenue,Mn,UWS,Preparing to install corner awning,1,0
6780,04-05-07-020,5/6/04,52,West 22nd Street,Mn,LM,2nd & 3rd floor windows blocked up,1,1
6781,04-05-14-021,5/10/04,412,West 14th Street,Mn,GANS,Façade work,1,1
6782,04-05-14-022,5/10/04,216,West 138th Street,Mn,SNIC,Noncompliant windows,1,1
6783,04-05-14-023,5/11/04,54,Franklin Street,Mn,TRIE,Painted metal covers,1,1
6784,04-05-14-024,5/11/04,35-63,79th Street,Qn,JH,"Interior alts., lighting",1,0
6785,04-05-14-025,5/5/04,19,East 76th Street,Mn,UES,Interior alts.,1,0
6786,04-05-14-026,5/12/04,[7],Old Fulton Street,Bn,FF,Work at lot next to #1 Old Fulton Street,1,1
6787,04-05-14-027,5/10/04,36,Riverside Drive,Mn,WEC,Work,1,1
6788,04-05-14-028,5/11/04,48,West 89th Street,Mn,UWS,Windows,1,0
6790,04-05-14-030,5/11/04,625,6th Avenue,Mn,IL,Illuminated sign beneath canopy,1,1
6791,04-05-14-031,5/11/04,290,Columbus Avenue,Mn,UWS,Signage,1,0
6792,04-05-14-032,5/11/04,304,Columbus Avenue,Mn,UWS,Signage,1,0
6793,04-05-14-033,5/11/04,300,Columbus Avenue,Mn,UWS,Signage,1,0
6794,04-05-14-034,5/12/04,367 - 369,Bleecker Street,Mn,GV,Awnings,1,0
6795,04-05-14-035,5/13/04,343,West 20th Street,Mn,CHEL,Façade falling down,1,0
6796,04-05-14-036,5/13/04,,Greenwood Cemetery,Bn,NOT DESIGNATED,Path replacement,1,0
6797,04-05-14-037,5/13/04,337 - 339,West Broadway,Mn,SOHO,Flagpoles,1,1
6798,04-05-14-038,5/14/04,107,Greene Avenue,Bn,CLIN,"Scaffolding, pink façade",1,0
6799,04-05-17-039,5/12/04,19,East 74th Street,Mn,UES,Canopy,1,0
6800,04-05-17-040,5/17/04,110,Bedford Street,Mn,GV,"Windows, window openings; June 9 04: Repointing",1,0
6801,04-05-17-041,5/17/04,16,Jumel Terrace,Mn,JT,"Trees removed, building a recording studio",1,0
6802,04-05-21-042,5/19/04,372,Fulton Street,Bn,IL,"Interior alts., signage, possible exterior work",1,0
6803,04-05-21-043,5/18/04,370,MacDonough Street,Bn,SH,Windows removed,1,1
6804,04-05-21-044,5/18/04,331,MacDonough Street,Bn,SH,Paint,1,1
6805,04-05-21-045,5/18/04,739,Greenwich Street,Mn,GV,"Scraping paint, scaffolding",1,0
6806,04-05-21-046,5/20/04,747,Amsterdam Avenue,Mn,IL,Rooftop structure more visible than approved,1,0
6807,04-05-21-047,5/20/04,391,Convent Avenue,Mn,HHSU,Windows removed,1,1
6808,04-05-21-048,5/20/04,275,Cumberland Street,Bn,FG,Rebrownstoning,1,0
6809,04-05-21-049,5/20/04,[297],Cumberland Street,Bn,FG,Painted white (Right hand side bldg. in row of 3 with column front balconies),1,0
6810,04-05-21-050,5/20/04,176,West 72nd Street,Mn,UWS,"Awning, signage, , façade work, yellow paint",1,1
6811,04-05-21-051,5/20/04,35,West 76th Street,Mn,UWS,"Gutted, construction at rear",1,0
6970,05-07-16-061,7/14/04,627,3rd Street,Bn,PS,Areaway,1,1
6812,04-05-21-052,5/20/04,520,Columbus Avenue,Mn,UWS,"Shopfront, signage, lighting, awning",1,1
6813,04-05-21-053,5/21/04,290,Convent Avenue,Mn,HHSU,Windows,1,0
6814,04-05-21-054,5/21/04,470,West 144th Street,Mn,HH,Siding installed,1,0
6815,04-05-21-055,5/21/04,455,West 144th Street,Mn,HH,Stoop work,1,1
6816,04-05-21-056,5/21/04,468,West 144th Street,Mn,HH,Siding installed,1,1
6817,04-05-21-057,,676,6th Avenue,Mn,LM,Antennas,1,1
6818,04-05-21-058,,2,West 77th Street,Mn,UWS,Antennas,1,0
6819,04-05-21-059,5/11/04,305 - 307,West 11th Street,Mn,GV,"Illegal work, scaffolding",1,0
6820,04-05-24-060,5/24/04,218,West 10th Street,Mn,GV,Interior alterations,1,0
6822,04-05-24-062,5/24/04,75,Christopher Street,Mn,GV,Alterations to shopfront window,1,1
6823,04-05-25-063,5/25/04,6,Ploughman's Bush,Bx,IL?,"Façade work, demolition",1,0
6824,04-05-25-064,5/25/04,340,East 43rd Street,Mn,TC,Painted stoop white (possibly only primer),1,1
6825,04-05-25-065,5/25/04,224,Cumberland Street,Bn,FG,Windows,1,0
6826,04-05-25-066,5/25/04,6 - 8,West 18th Street,Mn,LM,Replacement of 2nd floor windows,1,1
6827,04-05-26-067,5/26/04,161,West 87th Street,Mn,UWS,Possible façade & window work,1,0
6828,04-05-26-068,5/26/04,163,West 87th Street,Mn,UWS,Possible façade & window work,1,0
6829,04-05-26-069,5/26/04,19,Mercer Street,Mn,SOHO,Large brick wall at rear,1,0
6830,04-05-26-070,5/26/04,332,Riverside Drive,Mn,R105,Façade demolition work,1,0
6831,04-05-26-071,5/26/04,89,Chambers Street,Mn,TRIS,Ground floor alts.,1,0
6832,04-05-26-072,5/26/04,319,West 80th Street,Mn,RD80,4th floor windows,1,1
6834,04-05-26-074,5/26/04,13,White Street,Mn,TRIE,Flagpoles,1,1
6835,04-05-26-075,5/26/04,12,East 72nd Street,Mn,UES,Interior alts.,1,1
6836,04-05-26-076,5/26/04,131,7th Avenue South,Mn,GV,Go Poster signage,1,1
6837,04-05-26-077,5/26/04,110,7th Avenue South,Mn,GV,Go Poster signage,1,0
6838,04-05-26-078,5/26/04,[46],7th Avenue South,Mn,GV,Flagpoles,1,1
6839,04-05-26-079,5/26/04,16,Hudson Street,Mn,TRIW,Satellite dish,1,1
6840,04-05-26-080,5/5/00,8,Sniffen Court,Mn,SNF,Rooftop bulkhead,1,0
6841,04-06-01-001,6/1/04,432,Henry Street,Bn,COB,Façade work,1,0
6842,04-06-01-002,6/1/04,484,Henry Street,Bn,COB,Façade work,1,0
6843,04-06-01-003,6/1/04,140,Kane Street,Bn,COB,"Work at sidewall, sidewall caving in",1,0
6844,04-06-01-004,6/1/04,13,Cheever Place,Bn,COB,Alterations to door surround,1,0
6845,04-06-03-005,6/3/04,19,East 73rd Street,Mn,UES,Interior alterations,1,0
6847,04-06-10-007,5/28/04,16,West 122nd Street,Mn,MMP,Painting,1,1
6849,04-06-10-008,6/4/04,20,East 69th Street,Mn,UES,Signage,1,1
6850,04-06-10-009,6/4/04,263,Fenimore Street,Bn,PLG,"Windows, gate, refinishing",1,0
6852,04-06-10-011,6/7/04,110,East 64th Street,Mn,UES,Fence,1,1
6853,04-06-10-012,6/7/04,123,East 70th Street,Mn,UES,"Interior alts, rear alts",1,0
6854,04-06-10-013,6/7/04,34-48 or 34-50,84th Street,Qn,JH,Demolition of stoop and sidewalk,1,1
6855,04-06-10-014,6/7/04,315,President Street,Bn,CG,Painting,1,1
6856,04-06-10-015,6/8/04,922,President Street,Bn,PS,Painting,1,0
6858,04-06-10-017,6/8/04,96,Bainbridge Street,Bn,SH,"Windows, awning",1,1
6859,04-06-10-018,6/9/04,131,Christopher Street,Mn,GV,Signage on scaffolding,1,0
6860,04-06-10-019,6/9/04,1380,Madison Avenue,Mn,NOT DESIGNATED,Demolition and Construction,1,0
6861,04-06-10-020,6/10/04,31,Prospect Park West,Bn,PS,"AC, interior alts",1,0
6862,04-06-10-021,,426,Amsterdam Avenue,Mn,UWS,Tamarind awning & lighting,1,0
6863,04-06-10-022,3/19/04,127,Spring Street,Mn,SOHO,Work,1,0
6864,04-06-10-023,10/23/02,854,Manhattan Avenue,Bn,GP,Door & lighting noncompliant,1,1
6865,04-06-17-024,9/6/00,210,Columbus Avenue,Mn,UWS,Storefront signband,1,0
6866,04-06-17-025,6/10/04,20,East 74th Street,Mn,UES,Exhaust pipe visible from street.,1,0
6867,04-06-17-026,6/11/04,[84],Riverside Drive,Mn,RD80,Garbage enclosure,1,1
6869,04-06-17-028,6/11/04,1064,Clay Avenue,Bx,CA,"Painting @ Cornice, fence,windows, workmanship on slate tower",1,1
6870,04-06-17-029,6/11/04,1062,Clay Avenue,Bx,CA,Security Gate,1,1
6871,04-06-17-030,6/11/04,1043,Clay Avenue,Bx,CA,Metal door and painting @ façade,1,1
6872,04-06-17-031,6/14/04,135,West 72nd Street,Mn,UWS,Removal of brick @ 2nd floor,1,0
6874,04-06-17-033,6/15/04,35-27,87th Street,Qn,JH,"Installation of brick with iron gate; 9/1/04: façade work, areaway, window changes",1,1
6875,04-06-17-034,6/15/04,2-4,East 52nd Street,Mn,IL,Installation of flagpoles and banners,1,1
6876,04-06-17-035,6/15/04,139,Lefferts Avenue,Bn,PLG,"Windows, installation of metal gate, replacement of stoop treads, construction of fence around yard",1,1
6877,04-06-17-036,6/15/04,193,Lefferts Avenue,Bn,PLG,Fence,1,1
6878,04-06-17-037,6/15/04,195,Lefferts Avenue,Bn,PLG,Fence,1,1
6879,04-06-17-038,6/15/04,206,Lefferts Avenue,Bn,PLG,Fence,1,1
6880,04-06-17-039,6/15/04,207,Lefferts Avenue,Bn,PLG,Fence,1,0
6881,04-06-17-040,6/15/04,216,Lefferts Avenue,Bn,PLG,Fence,1,1
6882,04-06-17-041,6/15/04,1625,Amsterdam Avenue,Mn,HHE,Alterations to shopfront,1,1
6883,04-06-17-042,6/14/04,319,Greenwich Street,Mn,TRIW,Creation of seating area @ front sidewalk,1,1
6884,04-06-17-043,6/14/04,,Milligan Place,Mn,GV,Resurfacing of courtyard,1,0
6885,04-06-17-044,6/15/04,384,Bleecker Street,Mn,GV,Removal of Clock,1,0
6886,04-06-17-045,6/15/04,315,West 77th Street,Mn,WEC,"Banner ""For Rent""",1,0
6887,04-06-17-046,6/16/04,666,6th Avenue,Mn,LM,Installation of vinyl awning,1,1
6888,04-06-17-047,6/16/04,257,DeGraw Street,Bn,COB,Façade work,1,1
6889,04-06-17-048,6/16/04,357,Clinton Street,Bn,COB,Façade work,1,0
6890,04-06-17-049,6/16/04,331,Clinton Street,Bn,COB,Cornice,1,0
6891,04-06-17-050,6/16/04,391,Clinton Street,Bn,COB,Façade work,1,0
6892,04-06-17-051,6/17/04,54,Franklin Street,Mn,TRIE,"Grafitti, cleaning, painting of windows, new awning",1,0
6893,04-06-17-052,6/17/04,423,West 141st Street,Mn,HH,Windows,1,1
6894,04-06-17-053,6/17/04,319 or 321,West 12th Street,Mn,GV,Stoop work,1,1
6896,04-06-23-055,6/18/04,41,South Portland Avenue,Bn,FG,"Ironwork fencing on stoop, metal framed storm windows",1,0
6898,04-06-23-057,6/18/04,359,Clinton Street,Bn,COB,"AC, ventilation system",1,0
6899,04-06-23-058,6/18/04,2123,Kenmore Terrace,Bn,AKT,"Boarded up windows, building second entrance",1,1
6900,04-06-23-059,6/18/04,46,West 22nd Street,Mn,LM,"Awning replaced, now on 2nd floor.",1,1
6901,04-06-23-060,6/21/04,34-20,88th Street,Qn,JH,Fence,1,0
6902,04-06-23-061,6/21/04,34-22,88th Street,Qn,JH,Fence,1,0
6903,04-06-23-062,6/21/04,34-24,88th Street,Qn,JH,Fence,1,0
6905,04-06-23-064,6/22/04,292,Clinton Avenue,Bn,CLIN,Window replacement at 3rd Floor,1,0
6906,04-06-23-065,6/22/04,136,Clinton Avenue,Bn,IL,Disrepair,1,0
6907,04-06-23-066,6/22/04,35,West 23rd Street,Mn,LM,Windows,1,0
6908,04-06-23-067,6/23/04,14,South Oxford Street,Bn,FG,Deck @ parlor floor,1,0
6909,04-06-23-068,6/23/04,109,East 37th Street,Mn,MURH,Garbage enclosure,1,1
6910,05-07-07-001,6/21/04,340,West Broadway,Mn,SOHO,Garbage dumpster,1,0
6911,05-07-07-002,6/22/04,171,Third Avenue,Mn,SSQ,Signage,1,1
6912,05-07-07-003,6/22/04,36,Westervelt Avenue,SI,SG,"Porch, front steps railing and newel post",1,1
6913,05-07-07-004,6/22/04,2,St. Marks Place,SI,SG,"Lighting, areaway alterations",1,1
6914,05-07-07-005,6/24/04,802-816,Washington Street,Mn,GANS,Storefront,1,1
6915,05-07-07-006,6/24/04,762,Beck Street,Bx,LW,Replacement of window with door,1,1
6916,05-07-07-007,6/24/04,123,Hicks Street,Bn,BH,Signage,1,1
6917,05-07-07-008,6/24/04,65,Gates Street,Bn,CLIN,Replacement of windows,1,1
6918,05-07-07-009,6/24/04,,West 20th Street,Mn,CHEL,Telephone booth,1,0
6919,05-07-07-010,6/24/04,101,West 70th Street,Mn,UWS,Added two sections to mockup,1,0
6920,05-07-07-011,6/24/04,24,Bank Street,Mn,GV,2 story addition; 9/17/04: Neon at storefront,1,0
6921,05-07-07-012,6/24/04,105-107,Horatio Street,Mn,GANS,Storefront,1,0
6922,05-07-07-013,6/25/04,493-495,Columbus Avenue,Mn,UWS,Storefront,1,1
6923,05-07-07-014,6/25/04,5,West 54th Street,Mn,IL,Flagpoles,1,1
6924,05-07-07-015,6/25/04,11,West 54th Street,Mn,IL,Gate,1,0
6925,05-07-07-016,6/25/04,503A,Fulton Street,Bn,NOT DESIGNATED,Interior alterations,1,0
6926,05-07-07-017,6/28/04,268,Bleecker Street,Mn,NOT DESIGNATED,"Demolition, renovation of whole building",1,0
6927,05-07-07-018,6/28/04,18-20,Barrow Street,Mn,GV,Sidewalk at corner,1,0
6929,05-07-07-020,6/28/04,37-50,79th Street,Qn,JH,Work,1,0
6930,05-07-07-021,6/29/04,198,8th Avenue,Bn,PS,Painting,1,1
6934,05-07-07-025,6/30/04,225,East 17th Street,Mn,SSQ,"Flagpoles, flag",1,1
6935,05-07-07-026,6/30/04,159,West 10th Street,Mn,GV,Replacement of side door,1,0
6936,05-07-07-027,7/1/04,37,East 4th Street,Mn,IL,Demolition by neglect,1,0
6937,05-07-07-028,7/1/04,13,East 16th Street,Mn,LM,AC/Heating system on roof,1,0
6939,05-07-07-030,7/1/04,800,Washington Street,Mn,NOT DESIGNATED,Storefront,1,0
6940,05-07-07-031,7/1/04,37,East 68th Street,Mn,UES,Rooftop addition,1,0
6941,05-07-07-032,7/2/04,35-55,73rd Street,Qn,IL?,Painting,1,0
6942,05-07-07-033,7/2/04,769,Greenwich Street,Mn,GV,Façade work,1,0
6943,05-07-07-034,7/4/04,243,West 11th Street,Mn,GV,Ironwork,1,0
6944,05-07-07-035,7/6/04,967,Lexington Avenue,Mn,UES,Awning,1,1
6945,05-07-07-036,7/6/04,32,West 18th Street,Mn,LM,,1,0
